                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9275,                 2.8587,                 1.8687,                0.25557,                 0.3039,                0.19001,                0.06238,                 2.2422,                 3.6189,                 2.2491,              0.0005524,              0.0005524,              0.0005524
                      2,                 1.9228,                 2.4086,                 1.8364,                0.33408,                0.33672,                0.25537,                0.10012,                 2.1318,                 2.3346,                 2.0905,              0.0011008,              0.0011008,              0.0011008
                      3,                 1.9252,                 2.2948,                 1.8354,                0.34232,                0.35367,                0.26926,                0.10061,                 2.0589,                 2.3549,                 2.0271,              0.0016418,              0.0016418,              0.0016418
                      4,                  1.913,                 2.2182,                 1.8212,                0.34948,                0.36871,                0.29611,                0.11677,                  2.035,                 2.2897,                 2.0808,               0.001634,               0.001634,               0.001634
                      5,                 1.8731,                 2.1513,                 1.8049,                0.37002,                0.37029,                0.32785,                0.14424,                 1.9697,                 2.0774,                 1.9189,               0.001623,               0.001623,               0.001623
                      6,                 1.8651,                 2.0783,                 1.7794,                0.39941,                0.38302,                0.36407,                0.15845,                 1.9191,                 2.1126,                 1.8587,               0.001612,               0.001612,               0.001612
                      7,                 1.8391,                 2.0239,                 1.7536,                0.37822,                0.36713,                0.30294,                0.12752,                 1.9364,                 2.3259,                 1.8561,               0.001601,               0.001601,               0.001601
                      8,                 1.8154,                 1.9919,                 1.7479,                0.46781,                0.43644,                0.42647,                0.18738,                 1.9043,                  1.912,                 1.8069,                0.00159,                0.00159,                0.00159
                      9,                 1.8175,                 1.9619,                 1.7282,                0.47435,                0.46111,                0.44019,                0.19997,                 1.8437,                 1.8621,                 1.8096,               0.001579,               0.001579,               0.001579
                     10,                 1.7844,                 1.9524,                 1.7183,                 0.5124,                0.44933,                0.45754,                0.20162,                 1.8519,                 1.8868,                 1.8114,               0.001568,               0.001568,               0.001568
                     11,                  1.776,                 1.9039,                 1.6954,                0.39805,                0.44056,                0.34984,                0.15306,                 1.8288,                 2.1447,                 1.8071,               0.001557,               0.001557,               0.001557
                     12,                 1.7589,                 1.8935,                 1.6958,                 0.4901,                0.47497,                0.46625,                0.20712,                 1.8355,                 2.0278,                 1.7738,               0.001546,               0.001546,               0.001546
                     13,                  1.746,                 1.9079,                 1.6961,                0.50163,                0.44386,                0.44855,                 0.2011,                   1.82,                 1.8933,                 1.7618,               0.001535,               0.001535,               0.001535
                     14,                 1.7456,                 1.8626,                 1.6834,                0.53261,                0.47712,                0.49612,                0.23485,                 1.7427,                 1.7739,                 1.7438,               0.001524,               0.001524,               0.001524
                     15,                 1.7274,                 1.8334,                 1.6723,                0.55583,                0.47652,                0.50403,                0.23326,                 1.7813,                 1.7334,                 1.7453,               0.001513,               0.001513,               0.001513
                     16,                 1.7618,                 1.8465,                 1.6812,                0.55988,                  0.485,                0.49912,                0.23499,                 1.7493,                 1.7037,                   1.73,               0.001502,               0.001502,               0.001502
                     17,                 1.7246,                 1.8132,                 1.6717,                0.56783,                0.49605,                0.52427,                0.24724,                 1.7557,                  1.662,                 1.7592,               0.001491,               0.001491,               0.001491
                     18,                 1.7318,                 1.7965,                 1.6593,                0.52806,                0.49951,                0.49972,                0.23024,                 1.7675,                 1.8392,                 1.7134,                0.00148,                0.00148,                0.00148
                     19,                 1.7183,                 1.7715,                 1.6518,                0.55602,                0.51457,                0.53689,                0.25723,                 1.7236,                 1.6227,                 1.6966,               0.001469,               0.001469,               0.001469
                     20,                 1.7134,                 1.7853,                 1.6546,                0.56567,                0.49941,                0.52813,                0.25865,                 1.6908,                 1.6649,                 1.6704,               0.001458,               0.001458,               0.001458
                     21,                 1.6899,                 1.7303,                  1.636,                0.57048,                0.52364,                0.54977,                0.26672,                 1.7086,                 1.6514,                 1.6733,               0.001447,               0.001447,               0.001447
                     22,                 1.7024,                 1.7575,                 1.6338,                0.56334,                0.50159,                0.53509,                0.25786,                 1.7233,                 1.6477,                 1.6704,               0.001436,               0.001436,               0.001436
                     23,                  1.686,                 1.7554,                 1.6488,                0.56961,                0.51133,                 0.5512,                0.26769,                 1.7147,                 1.6342,                  1.689,               0.001425,               0.001425,               0.001425
                     24,                  1.676,                 1.7246,                 1.6293,                0.54036,                0.47029,                0.49495,                0.23369,                 1.7242,                 1.7138,                 1.6782,              0.0014139,              0.0014139,              0.0014139
                     25,                 1.6564,                 1.7014,                 1.6143,                0.59522,                0.51022,                0.56036,                0.27037,                 1.6869,                 1.6598,                 1.6858,              0.0014029,              0.0014029,              0.0014029
                     26,                 1.6735,                 1.7027,                 1.6344,                0.56921,                0.48582,                 0.5209,                0.24676,                 1.7166,                 1.7366,                 1.6718,              0.0013919,              0.0013919,              0.0013919
                     27,                 1.6498,                  1.678,                 1.6078,                0.56825,                0.52541,                0.54744,                0.27373,                 1.6747,                 1.5952,                 1.6743,              0.0013809,              0.0013809,              0.0013809
